Год,Тип обработки,GPS №,повторность,Размер сухого агрегата,Размеры фракций,"Вес образца, г",region
2019,ТТ,Архангельский,2,5-3,>3,1.5999999999999943,архангельский
2019,ТТ,Архангельский,2,5-3,3-2,1.5800000000000125,архангельский
2019,ТТ,Архангельский,2,5-3,2-1,1.9699999999999989,архангельский
2019,ТТ,Архангельский,2,5-3,1-0.25,6.049999999999983,архангельский
2019,ТТ,Архангельский,3,>10,>10,1.3200000000000216,архангельский
2019,ТТ,Архангельский,3,>10,10-7,0.0,архангельский
2019,ТТ,Архангельский,3,>10,7-5,0.09999999999999432,архангельский
2019,ТТ,Архангельский,3,>10,5-3,1.789999999999992,архангельский
2019,ТТ,Архангельский,3,>10,3-2,1.9099999999999966,архангельский
2019,ТТ,Архангельский,3,>10,2-1,4.569999999999993,архангельский
2019,ТТ,Архангельский,3,>10,1-0.25,5.22999999999999,архангельский
2019,ТТ,Архангельский,3,10-7,>7,0.7199999999999989,архангельский
2019,ТТ,Архангельский,3,10-7,7-5,1.6899999999999977,архангельский
2019,ТТ,Архангельский,3,10-7,5-4,1.230000000000004,архангельский
2019,ТТ,Архангельский,3,10-7,4-3,2.1299999999999955,архангельский
2019,ТТ,Архангельский,3,10-7,3-2,1.329999999999984,архангельский
2019,ТТ,Архангельский,3,10-7,2-1,2.1899999999999977,архангельский
2019,ТТ,Архангельский,3,10-7,1-0.25,6.6299999999999955,архангельский
2019,ТТ,Архангельский,3,7-5,>5,1.0,архангельский
2019,ТТ,Архангельский,3,7-5,5-4,0.8600000000000136,архангельский
2019,ТТ,Архангельский,3,7-5,4-3,1.3200000000000216,архангельский
2019,ТТ,Архангельский,3,7-5,3-2,1.6599999999999966,архангельский
2019,ТТ,Архангельский,3,7-5,2-1,3.7700000000000102,архангельский
2019,ТТ,Архангельский,3,7-5,1-0.25,5.160000000000025,архангельский
2019,ТТ,Архангельский,3,5-3,>3,1.0300000000000011,архангельский
2019,ТТ,Архангельский,3,5-3,3-2,2.7299999999999898,архангельский
2019,ТТ,Архангельский,3,5-3,2-1,3.9099999999999966,архангельский
2019,ТТ,Архангельский,3,5-3,1-0.25,2.009999999999991,архангельский
2019,ТТ,Архангельский,4,>10,>10,2.8700000000000045,архангельский
2019,ТТ,Архангельский,4,>10,10-7,0.030000000000001137,архангельский
2019,ТТ,Архангельский,4,>10,7-5,0.14000000000001478,архангельский
2019,ТТ,Архангельский,4,>10,5-3,1.0800000000000125,архангельский
2019,ТТ,Архангельский,4,>10,3-2,0.9100000000000108,архангельский
2019,ТТ,Архангельский,4,>10,2-1,4.789999999999992,архангельский
2019,ТТ,Архангельский,4,>10,1-0.25,4.88000000000001,архангельский
2019,ТТ,Архангельский,4,10-7,>7,1.3199999999999932,архангельский
2019,ТТ,Архангельский,4,10-7,7-5,0.46999999999999886,архангельский
2019,ТТ,Архангельский,4,10-7,5-4,0.1700000000000017,архангельский
2019,ТТ,Архангельский,4,10-7,4-3,1.2800000000000011,архангельский
2019,ТТ,Архангельский,4,10-7,3-2,1.039999999999992,архангельский
2019,ТТ,Архангельский,4,10-7,2-1,1.4200000000000017,архангельский
2019,ТТ,Архангельский,4,10-7,1-0.25,8.76000000000002,архангельский
2019,ТТ,Архангельский,4,7-5,>5,1.9399999999999977,архангельский
2019,ТТ,Архангельский,4,7-5,5-4,0.5,архангельский
2019,ТТ,Архангельский,4,7-5,4-3,0.6299999999999955,архангельский
2019,ТТ,Архангельский,4,7-5,3-2,1.2700000000000102,архангельский
2019,ТТ,Архангельский,4,7-5,2-1,3.6500000000000057,архангельский
2019,ТТ,Архангельский,4,7-5,1-0.25,4.930000000000007,архангельский
2019,ТТ,Архангельский,4,5-3,>3,1.4000000000000057,архангельский
2019,ТТ,Архангельский,4,5-3,3-2,1.049999999999983,архангельский
2019,ТТ,Архангельский,4,5-3,2-1,2.039999999999992,архангельский
2019,ТТ,Архангельский,4,5-3,1-0.25,7.959999999999994,архангельский
2019,ТТ,Архангельский,5,>10,>10,3.259999999999991,архангельский
2019,ТТ,Архангельский,5,>10,10-7,0.23999999999998067,архангельский
2019,ТТ,Архангельский,5,>10,7-5,0.5300000000000011,архангельский
2019,ТТ,Архангельский,5,>10,5-3,1.5300000000000011,архангельский
2019,ТТ,Архангельский,5,>10,3-2,0.9500000000000028,архангельский
2019,ТТ,Архангельский,5,>10,2-1,3.200000000000003,архангельский
2019,ТТ,Архангельский,5,>10,1-0.25,5.319999999999993,архангельский
2019,ТТ,Архангельский,5,10-7,>7,0.710000000000008,архангельский
